TWEET_ID,WORD_ID
0,12452
0,2418
0,7062
1,1721
1,5700
1,2875
2,5363
2,963
3,14827
3,8528
3,19851
4,11621
4,10488
4,10588
4,11621
4,19100
5,2875
5,17578
6,14978
6,19938
6,1001
6,8678
7,12996
7,14517
7,11151
8,20166
8,15538
8,1304
9,21283
10,7979
10,1721
10,3085
10,3186
10,19542
10,21842
11,19938
11,11211
11,20269
11,9695
11,2418
11,6548
11,20538
11,9265
11,13041
12,6403
12,8956
13,17249
13,9216
13,18603
13,19873
13,2609
13,11272
13,17750
13,5363
13,19213
13,8101
13,17166
13,15880
13,17917
13,14588
14,16658
14,15026
14,15248
14,20739
14,4778
14,3144
14,11347
14,1457
15,6503
15,9697
15,8678
15,13835
16,6216
16,11831
16,12452
16,17166
17,11021
17,12793
17,6666
17,150
17,12793
18,20384
18,10
19,20314
19,20633
19,21283
19,571
20,7350
20,12543
20,14523
20,15621
20,10452
20,4667
20,17050
20,9241
20,15621
20,10386
20,13661
20,13324
20,13487
21,8789
21,2776
21,17858
21,1403
22,17166
22,10932
22,2364
22,11566
22,12628
22,14272
22,19352
22,16578
22,20847
22,6528
22,11566
23,17617
23,19475
23,8678
23,2903
23,15538
24,12848
24,1540
24,14827
24,1848
24,19926
24,9213
25,4344
25,19964
26,4344
26,19964
27,17917
27,16982
27,13447
27,17917
28,8789
28,9850
28,17858
28,5298
29,13553
29,246
29,9928
29,13501
29,21283
29,21736
29,21736
29,21283
30,17634
30,16022
30,16642
30,1625
30,7181
30,14437
30,19710
31,11260
31,12097
31,11106
31,18225
31,13034
31,6014
31,19926
31,1271
31,20540
31,18461
31,13598
32,1403
32,5363
32,14856
32,5575
32,9695
32,10932
32,16350
32,8638
32,10049
32,16705
32,1302
33,10506
33,9850
33,16080
33,19341
34,20166
34,12848
34,21063
34,10717
34,5700
34,19341
35,10622
35,4846
36,1313
36,15611
36,11905
36,5345
36,20627
36,12793
36,13700
36,2374
37,11400
37,15611
38,4523
38,12465
38,2845
38,7094
38,5700
38,5003
38,2875
39,15611
40,15538
40,11106
40,4034
40,18100
40,15428
40,16776
40,20680
40,6614
41,17821
41,19849
41,4912
41,12848
41,17962
41,20665
42,20217
42,11286
42,93
43,1721
43,8714
43,1657
44,4870
44,3972
44,4487
45,19873
45,20305
45,15071
45,9623
45,5700
45,13444
45,18518
45,17862
45,1660
45,14983
46,12848
46,17536
46,11869
46,14122
47,13360
47,171
47,11336
47,1481
48,2875
48,16120
49,7979
49,1721
49,2910
49,4177
49,17820
49,18588
49,15901
50,11021
50,21283
50,17249
50,12894
50,10932
50,8176
50,962
50,14122
50,3962
50,15885
50,21912
50,17634
51,19716
51,14788
51,2647
51,2081
51,13827
51,17034
52,1721
52,11869
52,14122
52,14141
52,8647
52,19958
52,6380
52,5389
53,849
53,13360
53,19710
53,12021
53,16344
53,13200
53,10483
53,15996
53,1286
53,11659
54,17862
54,4
54,8765
54,9164
54,11634
54,14993
54,13192
54,2776
54,16867
54,5398
54,8678
54,16796
55,16131
55,3013
55,3768
55,21210
55,19419
55,3013
55,18862
55,11423
55,19419
55,13041
55,13041
55,13041
56,3601
56,10316
56,11566
56,5891
57,10446
57,21912
57,18164
58,19510
58,19926
58,14254
58,17166
58,18410
58,18090
58,14433
59,1882
59,16221
59,2202
59,8109
59,16165
59,3904
59,598
59,6403
59,11621
60,6503
60,15886
60,1802
60,1657
60,17658
60,14152
60,14628
61,21811
61,19513
61,3897
61,20302
61,12972
61,8749
61,10386
62,17154
62,227
62,17166
62,20166
62,13660
62,20494
62,2647
62,5700
62,20215
62,20092
62,14829
62,5844
63,10446
63,2530
63,11681
64,21842
64,9523
65,15682
65,19219
65,14378
65,18457
65,8678
65,11400
65,11869
65,14122
65,10827
65,682
65,8089
65,20063
65,14518
65,12452
66,1721
66,2661
66,18598
66,7350
66,2271
67,5363
67,8528
67,1271
67,13647
68,11708
68,4914
69,10446
69,8089
70,13011
70,18518
70,14984
70,5850
71,12452
72,20611
72,1436
72,13121
72,12363
72,9576
73,19173
73,5185
73,7045
73,897
73,16578
73,962
73,9697
73,13553
74,12810
74,20642
74,15869
74,15648
74,3783
75,1188
75,15312
75,11621
75,6232
76,6181
76,18947
76,14125
76,7453
76,1540
76,9788
76,5653
76,9697
76,3910
76,5160
76,9292
77,20384
77,8565
77,67
77,11352
77,19243
77,1302
77,10679
77,1789
77,21838
77,920
77,18917
78,10746
78,9697
78,4234
79,17249
79,11768
79,20633
79,1302
79,8647
79,5994
79,20482
79,3613
79,11400
79,18913
80,6999
80,14760
80,11905
81,2875
81,11352
81,5703
82,18346
82,15182
82,20611
82,9743
82,21283
82,21885
82,19710
82,5700
82,15538
82,14518
82,6403
82,20384
82,6851
83,2647
83,5185
83,15378
83,10483
83,6693
83,15952
83,6693
83,168
83,16109
83,778
83,9207
83,16799
84,186
84,19958
84,15170
84,14122
84,21566
84,2162
84,1721
84,21309
84,16776
84,897
84,14974
85,11768
85,9300
85,20723
85,14272
85,11566
85,1403
85,5363
85,11768
85,5891
85,8739
85,10446
86,18346
